itemId,locationId,project,type,availableForSupplyDate,BATCH,uom,quantity,PROCESSTYPE,expirationDate,SITEOWNER,ITEMOWNER,onHandPostDateTime,MEASURE,NODETYPE,LOB,lotNumber,STORE,CTOITEMID,CTOBOMID
CFGB09,LDC3, ,,2023-10-30,SKU_OH,,6500,,2024-02-03,,,,,,,,SKU_OH,,
CFGB01,LDC1, ,,2023-08-07,EXPIRED,,6000,,2023-09-11,,,,,,,,EXPIRED,,
CFGB04,LDC1, ,,2023-08-07,EXPIRED,,10000,,2023-08-27,,,,,,,,EXPIRED,,
CFGB01,LDC1, ,,2023-08-07,EXPIRED,,4000,,2023-09-06,,,,,,,,EXPIRED,,
CFGB01,LDC2, ,,2023-08-07,EXPIRED,,9000,,2023-09-16,,,,,,,,EXPIRED,,
CFGB01,LDC3, ,,2023-08-07,EXPIRED,,8000,,2023-09-26,,,,,,,,EXPIRED,,
CSFGBE08,Copacker1, ,,2023-08-07,SKU_OH,,18297,,2024-02-03,,,,,,,,SKU_OH,,
CSFGBE08,Copacker2, ,,2023-08-07,SKU_OH,,18297,,2024-02-03,,,,,,,,SKU_OH,,
CSFGBE08,External_Copacker, ,,2023-08-07,SKU_OH,,17697,,2024-02-03,,,,,,,,SKU_OH,,
CSFGBE09,Copacker1, ,,2023-08-07,SKU_OH,,25518,,2024-02-03,,,,,,,,SKU_OH,,
CSFGBE09,Copacker2, ,,2023-08-07,SKU_OH,,25518,,2024-02-03,,,,,,,,SKU_OH,,
CSFGBE09,External_Copacker, ,,2023-08-07,SKU_OH,,22893,,2024-02-03,,,,,,,,SKU_OH,,
CFGB10,LDC1, ,,2023-08-07,SKU_OH_B10,,2400,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-20,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-09,SKU_OH_B10,,2400,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-10,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-11,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-12,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-13,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-14,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-15,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-16,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-08,SKU_OH_B10,,2400,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-17,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-18,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-19,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-22,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-23,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
CFGB10,LDC1, ,,2023-08-24,SKU_OH_B10,,1200,,2024-02-03,,,,,,,,SKU_OH_B10,,
